provinceEnglishName,cityEnglishName,city_zipCode,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
Gansu,Lanzhou,620100.0,36,0,22,2,2020-02-18 22:52:38.128
Gansu,Pingliang,620800.0,9,0,3,0,2020-02-18 22:52:38.128
Gansu,Gannan,623000.0,8,0,4,0,2020-02-18 22:52:38.128
Gansu,Baiyin,620400.0,4,0,1,0,2020-02-18 22:52:38.128
Gansu,Tianshui,620500.0,12,0,11,0,2020-02-18 22:52:38.128
Gansu,Dingxi,621100.0,9,0,8,0,2020-02-18 22:52:38.128
Gansu,Qingyang,621000.0,3,0,2,0,2020-02-18 22:52:38.128
Gansu,Longnan,621200.0,4,0,4,0,2020-02-18 22:52:38.128
Gansu,Linxia,622900.0,3,0,3,0,2020-02-18 22:52:38.128
Gansu,Zhangye,620700.0,2,0,2,0,2020-02-18 22:52:38.128
Gansu,Jinchang,620300.0,1,0,1,0,2020-02-18 22:52:38.128
Gansu,Area not defined,0.0,0,0,1,0,2020-02-18 22:52:38.128
Shanxi,Jinzhong,140700.0,36,0,15,0,2020-02-18 22:42:22.018
Shanxi,Taiyuan,140100.0,19,0,8,0,2020-02-18 22:42:22.018
Shanxi,Jincheng,140500.0,9,0,2,0,2020-02-18 22:42:22.018
Shanxi,Changzhi,140400.0,8,0,1,0,2020-02-18 22:42:22.018
Shanxi,Datong,140200.0,12,0,6,0,2020-02-18 22:42:22.018
Shanxi,Shuozhou,140600.0,8,0,2,0,2020-02-18 22:42:22.018
Shanxi,Yuncheng,140800.0,19,0,14,0,2020-02-18 22:42:22.018
Shanxi,Xinzhou,140900.0,7,0,4,0,2020-02-18 22:42:22.018
Shanxi,Yangquan,140300.0,4,0,1,0,2020-02-18 22:42:22.018
Shanxi,Linfen,141000.0,2,0,1,0,2020-02-18 22:42:22.018
Shanxi,Lüliang,141100.0,6,0,6,0,2020-02-18 22:42:22.018
Henan,Xinyang,411500.0,266,0,84,2,2020-02-18 22:18:43.181
