provinceEnglishName,province_zipCode,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,updateTime
Gansu,620000,91,0,62,2,2020-02-18 22:52:38.128
Shanxi,140000,130,0,60,0,2020-02-18 22:42:22.018
Henan,410000,1257,0,522,19,2020-02-18 22:18:43.181
Shaanxi,610000,240,0,89,0,2020-02-18 22:18:43.181
Tianjin,120000,128,0,48,3,2020-02-18 21:44:48.196
Guangdong,440000,1328,0,565,4,2020-02-18 21:40:41.322
Anhui,340000,982,0,361,6,2020-02-18 21:40:41.322
Hunan,430000,1007,0,527,4,2020-02-18 21:40:41.322
Hebei,130000,302,0,136,4,2020-02-18 21:40:41.322
Gansu,620000,91,0,61,2,2020-02-18 21:40:41.322
Guizhou,520000,146,0,66,2,2020-02-18 21:31:24.994
Hunan,430000,1007,0,526,4,2020-02-18 20:51:20.102
Liaoning,210000,121,0,53,1,2020-02-18 20:51:20.102
Jiangsu,320000,629,0,280,0,2020-02-18 20:32:49.995
Sichuan,510000,508,0,169,3,2020-02-18 20:32:49.995
Guangxi,450000,242,0,69,2,2020-02-18 20:32:49.995
Zhejiang,330000,1172,0,535,0,2020-02-18 20:17:23.646
Shanxi,140000,130,0,57,0,2020-02-18 20:17:23.646
Hebei,130000,302,0,130,4,2020-02-18 20:07:05.939
Hunan,430000,1007,0,523,4,2020-02-18 19:57:47.415
Shandong,370000,543,0,211,3,2020-02-18 19:57:47.415
Tianjin,120000,127,0,48,3,2020-02-18 19:48:32.107
Shaanxi,610000,240,0,86,0,2020-02-18 19:35:09.429
Shanxi,140000,130,0,54,0,2020-02-18 19:35:09.429
Liaoning,210000,121,0,49,1,2020-02-18 19:35:09.429
Hubei,420000,59989,0,7943,1789,2020-02-18 19:02:17.294
Heilongjiang,230000,464,0,111,11,2020-02-18 19:02:17.294
Gansu,620000,91,0,59,2,2020-02-18 19:02:17.294
Guangdong,440000,1328,0,560,4,2020-02-18 18:55:06.592
Shandong,370000,543,0,210,3,2020-02-18 18:55:06.592
Henan,410000,1257,0,521,19,2020-02-18 18:53:03.586
Hubei,420000,59989,0,7927,1789,2020-02-18 18:46:52.264
Guangdong,440000,1328,0,558,4,2020-02-18 18:46:52.264
Jiangsu,320000,629,0,279,0,2020-02-18 18:46:52.264
Hebei,130000,302,0,129,4,2020-02-18 18:38:39.142
Hainan,460000,163,0,79,4,2020-02-18 18:38:39.142
Ningxia,640000,70,0,42,0,2020-02-18 18:15:00.354
Anhui,340000,982,0,337,6,2020-02-18 18:13:58.462
Shanghai,310000,333,0,177,1,2020-02-18 18:13:58.462
Shaanxi,610000,240,0,85,0,2020-02-18 18:13:58.462
Anhui,340000,982,0,336,6,2020-02-18 17:51:22.114
Zhejiang,330000,1172,0,534,0,2020-02-18 17:51:22.114
Jiangsu,320000,629,0,276,0,2020-02-18 17:51:22.114
Heilongjiang,230000,464,0,105,11,2020-02-18 17:51:22.114
Sichuan,510000,508,0,168,3,2020-02-18 17:51:22.114
Shandong,370000,543,0,208,3,2020-02-18 17:51:22.114
Guangdong,440000,1328,0,547,4,2020-02-18 17:46:13.805
Hunan,430000,1007,0,518,4,2020-02-18 17:46:13.805
Shandong,370000,543,0,213,3,2020-02-18 17:46:13.805
Jiangsu,320000,629,0,274,0,2020-02-18 17:42:06.145
Heilongjiang,230000,464,0,101,11,2020-02-18 17:42:06.145
Sichuan,510000,508,0,167,3,2020-02-18 17:42:06.145
Shandong,370000,543,0,212,3,2020-02-18 17:42:06.145
Fujian,350000,292,0,93,0,2020-02-18 17:42:06.145
Guangxi,450000,242,0,67,2,2020-02-18 17:42:06.145
Hainan,460000,163,0,67,4,2020-02-18 17:42:06.145
Anhui,340000,982,0,334,6,2020-02-18 17:37:59.292
Shandong,370000,543,0,204,3,2020-02-18 17:37:59.292
Zhejiang,330000,1172,0,521,0,2020-02-18 17:36:57.586
Guangdong,440000,1328,0,543,4,2020-02-18 17:33:52.470
Henan,410000,1257,0,520,19,2020-02-18 17:33:52.470
Yunnan,530000,172,0,57,0,2020-02-18 17:33:52.470
Chongqing,500000,553,0,235,5,2020-02-18 15:59:16.333
Guangdong,440000,1328,0,541,4,2020-02-18 15:38:42.249
Zhejiang,330000,1172,0,520,0,2020-02-18 15:38:42.249
Anhui,340000,982,0,330,6,2020-02-18 15:38:42.249
Heilongjiang,230000,464,0,98,11,2020-02-18 15:38:42.249
Shandong,370000,543,0,204,2,2020-02-18 15:38:42.249
Guangxi,450000,242,0,65,2,2020-02-18 15:38:42.249
Hebei,130000,302,0,127,4,2020-02-18 15:38:42.249
Liaoning,210000,121,0,46,1,2020-02-18 15:38:42.249
Jilin,220000,89,0,36,1,2020-02-18 15:38:42.249
Qinghai,630000,18,0,15,0,2020-02-18 15:38:42.249
Hubei,420000,59989,0,7902,1789,2020-02-18 14:14:26.622
Zhejiang,330000,1172,0,518,0,2020-02-18 14:14:26.622
Anhui,340000,982,0,328,6,2020-02-18 14:14:26.622
Hunan,430000,1007,0,513,4,2020-02-18 14:14:26.622
Shaanxi,610000,240,0,84,0,2020-02-18 14:14:26.622
Hubei,420000,59989,0,7888,1789,2020-02-18 13:05:31.571
Guangdong,440000,1328,0,538,4,2020-02-18 13:05:31.571
Heilongjiang,230000,464,0,89,11,2020-02-18 13:05:31.571
Jiangsu,320000,629,0,273,0,2020-02-18 13:05:31.571
Sichuan,510000,508,0,165,3,2020-02-18 13:05:31.571
Shaanxi,610000,240,0,81,0,2020-02-18 13:05:31.571
Shanghai,310000,333,0,177,1,2020-02-18 12:56:16.893
Anhui,340000,982,0,320,6,2020-02-18 12:47:02.438
Hunan,430000,1007,0,503,4,2020-02-18 12:47:02.438
Guangxi,450000,242,0,63,2,2020-02-18 12:47:02.438
Hubei,420000,59989,0,7887,1789,2020-02-18 11:44:23.488
Shandong,370000,543,0,195,2,2020-02-18 11:44:23.488
Liaoning,210000,121,0,45,1,2020-02-18 11:44:23.488
Qinghai,630000,18,0,14,0,2020-02-18 11:44:23.488
Hubei,420000,59989,0,7885,1789,2020-02-18 11:40:17.098
Anhui,340000,982,0,298,6,2020-02-18 11:40:17.098
Hunan,430000,1007,0,502,4,2020-02-18 11:40:17.098
Heilongjiang,230000,464,0,87,11,2020-02-18 11:40:17.098
Jiangsu,320000,629,0,271,0,2020-02-18 11:40:17.098
Yunnan,530000,172,0,51,0,2020-02-18 11:40:17.098
Hubei,420000,59989,0,7875,1789,2020-02-18 11:17:41.140
Henan,410000,1257,0,514,19,2020-02-18 11:17:41.140
Tianjin,120000,127,0,46,3,2020-02-18 11:17:41.140
Guangdong,440000,1328,0,533,4,2020-02-18 10:58:09.721
Henan,410000,1257,0,513,19,2020-02-18 10:58:09.721
Henan,410000,1257,0,505,19,2020-02-18 10:27:19.358
Beijing,110000,387,0,122,4,2020-02-18 10:07:48.880
Neimenggu,150000,73,0,8,0,2020-02-18 09:56:30.884
Yunnan,530000,172,0,47,0,2020-02-18 09:36:55.951
Jiangxi,360000,933,0,310,1,2020-02-18 09:28:41.658
Hunan,430000,1007,0,501,4,2020-02-18 09:28:41.658
Guangdong,440000,1328,0,530,4,2020-02-18 09:24:33.914
Anhui,340000,982,0,293,6,2020-02-18 09:13:14.519
Zhejiang,330000,1172,0,514,0,2020-02-18 09:13:14.519
Guizhou,520000,146,0,66,1,2020-02-18 09:13:14.519
Jiangsu,320000,629,0,263,0,2020-02-18 08:58:50.987
Sichuan,510000,508,0,163,3,2020-02-18 08:55:46.846
Xinjiang,650000,76,0,12,1,2020-02-18 08:55:46.846
Henan,410000,1257,0,509,19,2020-02-18 08:45:31.423
Shandong,370000,543,0,193,2,2020-02-18 08:45:31.423
Fujian,350000,292,0,91,0,2020-02-18 08:36:18.094
Guangxi,450000,242,0,58,2,2020-02-18 08:12:41.732
Heilongjiang,230000,464,0,85,11,2020-02-18 08:08:35.364
Hebei,130000,302,0,123,4,2020-02-18 08:01:24.594
Shanghai,310000,333,0,161,1,2020-02-18 07:45:59.895
Hubei,420000,59989,0,7862,1789,2020-02-18 07:13:10.209
Chongqing,500000,553,0,225,5,2020-02-18 07:04:57.246
Chongqing,500000,552,0,225,5,2020-02-18 06:59:49.213
Shanxi,140000,130,0,53,0,2020-02-18 06:47:31.318
Henan,410000,1246,0,509,16,2020-02-17 22:52:46.244
Gansu,620000,91,0,58,2,2020-02-17 22:49:41.294
Chongqing,500000,552,0,214,5,2020-02-17 22:29:08.238
Henan,410000,1246,0,508,16,2020-02-17 22:13:45.106
Chongqing,500000,553,0,214,5,2020-02-17 22:05:32.340
Sichuan,510000,495,0,156,3,2020-02-17 21:09:09.451
Henan,410000,1246,0,507,16,2020-02-17 20:54:47.954
Hebei,130000,301,0,122,3,2020-02-17 20:54:47.954
Guangdong,440000,1322,0,524,4,2020-02-17 20:42:30.403
Chongqing,500000,552,0,211,5,2020-02-17 20:42:30.403
Tianjin,120000,125,0,46,3,2020-02-17 20:42:30.403
Henan,410000,1246,0,499,16,2020-02-17 20:24:01.808
Hubei,420000,58182,0,6693,1696,2020-02-17 20:22:59.982
Hebei,130000,301,0,114,3,2020-02-17 20:22:59.982
Hubei,420000,58182,0,6647,1696,2020-02-17 19:58:23.440
Guangdong,440000,1322,0,522,4,2020-02-17 19:58:23.440
Guangdong,440000,1322,0,518,4,2020-02-17 19:42:59.831
Hunan,430000,1006,0,498,3,2020-02-17 19:42:59.831
Sichuan,510000,495,0,153,3,2020-02-17 19:42:59.831
Shaanxi,610000,240,0,79,0,2020-02-17 19:42:59.831
Shanxi,140000,129,0,51,0,2020-02-17 19:42:59.831
Gansu,620000,90,0,56,2,2020-02-17 19:42:59.831
Zhejiang,330000,1171,0,507,0,2020-02-17 19:22:29.404
Liaoning,210000,121,0,43,1,2020-02-17 19:10:11.570
Guizhou,520000,146,0,57,1,2020-02-17 19:06:05.423
Sichuan,510000,495,0,151,3,2020-02-17 19:05:03.803
Hunan,430000,1006,0,496,3,2020-02-17 18:59:56.451
Shandong,370000,541,0,191,2,2020-02-17 18:59:56.451
Hainan,460000,163,0,59,4,2020-02-17 18:59:56.451
Guizhou,520000,146,0,62,1,2020-02-17 18:59:56.451
Jilin,220000,89,0,34,1,2020-02-17 18:59:56.451
Ningxia,640000,70,0,35,0,2020-02-17 18:59:56.451
Hubei,420000,58182,0,6645,1696,2020-02-17 18:19:57.724
Guangdong,440000,1322,0,497,4,2020-02-17 18:19:57.724
Henan,410000,1246,0,498,16,2020-02-17 18:19:57.724
Zhejiang,330000,1171,0,504,0,2020-02-17 18:19:57.724
Hunan,430000,1006,0,494,3,2020-02-17 18:19:57.724
Jiangsu,320000,626,0,258,0,2020-02-17 18:19:57.724
Shandong,370000,541,0,189,2,2020-02-17 18:19:57.724
Fujian,350000,290,0,90,0,2020-02-17 18:19:57.724
Hebei,130000,301,0,113,3,2020-02-17 18:19:57.724
Guangxi,450000,238,0,53,2,2020-02-17 18:19:57.724
Shaanxi,610000,240,0,76,0,2020-02-17 18:19:57.724
Yunnan,530000,171,0,47,0,2020-02-17 18:19:57.724
Hainan,460000,163,0,54,4,2020-02-17 18:19:57.724
Jilin,220000,89,0,33,1,2020-02-17 18:19:57.724
Guangdong,440000,1322,0,494,4,2020-02-17 17:09:18.718
Anhui,340000,973,0,280,6,2020-02-17 17:08:17.381
Sichuan,510000,495,0,147,3,2020-02-17 17:05:12.974
Chongqing,500000,552,0,210,5,2020-02-17 16:55:58.968
Zhejiang,330000,1171,0,489,0,2020-02-17 16:49:50.785
Henan,410000,1246,0,487,16,2020-02-17 15:53:27.578
Zhejiang,330000,1171,0,487,0,2020-02-17 15:53:27.578
Jiangsu,320000,626,0,248,0,2020-02-17 15:53:27.578
Heilongjiang,230000,457,0,85,11,2020-02-17 15:53:27.578
Sichuan,510000,495,0,146,3,2020-02-17 15:53:27.578
Shaanxi,610000,240,0,75,0,2020-02-17 15:53:27.578
Guizhou,520000,146,0,56,1,2020-02-17 15:53:27.578
Henan,410000,1246,0,485,16,2020-02-17 15:41:10.634
Zhejiang,330000,1171,0,486,0,2020-02-17 15:41:10.634
Guangdong,440000,1322,0,486,4,2020-02-17 15:38:06.416
Shandong,370000,541,0,182,2,2020-02-17 15:38:06.416
Chongqing,500000,551,0,210,5,2020-02-17 15:38:06.416
Shanghai,310000,332,0,161,1,2020-02-17 14:32:33.472
Heilongjiang,230000,457,0,84,11,2020-02-17 13:58:44.072
Sichuan,510000,495,0,141,3,2020-02-17 13:58:44.072
Henan,410000,1246,0,484,16,2020-02-17 13:57:42.600
Zhejiang,330000,1171,0,472,0,2020-02-17 13:57:42.600
Hunan,430000,1006,0,491,3,2020-02-17 13:57:42.600
Jiangsu,320000,626,0,247,0,2020-02-17 13:57:42.600
Heilongjiang,230000,457,0,81,11,2020-02-17 13:57:42.600
Sichuan,510000,495,0,140,3,2020-02-17 13:57:42.600
Guangdong,440000,1322,0,485,4,2020-02-17 13:48:29.553
Guangdong,440000,1322,0,484,4,2020-02-17 13:15:41.559
Guangdong,440000,1322,0,483,4,2020-02-17 13:13:39.175
Sichuan,510000,495,0,137,3,2020-02-17 13:12:37.938
Anhui,340000,973,0,278,6,2020-02-17 13:07:31.627
Hebei,130000,301,0,111,3,2020-02-17 13:07:31.627
Shanghai,310000,331,0,161,1,2020-02-17 13:07:31.627
Yunnan,530000,171,0,45,0,2020-02-17 13:07:31.627
